ID,REGION,PEOPL,HHINC,AVG_EDU_LVL,AVG_AGE,CHLDRN_LT_20,OTHR_INCM_SRC,RSDNC,NUM_YEARS_US,NUM_IN_ARMY,TOTAL_NUM_JOBS_HHLD,OWNS_HOUSE
16919,7,6,"$32,500",8,34,4,0,0,34,1,1,0
16928,7,2,"$35,046",3,64,0,0,0,64,1,2,1
16931,7,1,"$85,000",1,84,0,0,0,84,0,1,1
16933,7,4,"$54,320",8,35,2,0,0,35,1,2,1
16935,7,4,"$84,600",5,29,2,0,0,29,2,3,1
16936,7,6,"$30,000",3,28,4,0,0,20,0,3,0
16937,7,3,"$24,674",6,24,0,0,0,24,0,4,0
16942,7,3,"$16,565",6,35,2,0,0,35,0,1,0
16955,7,1,"$51,235",7,50,0,0,0,50,0,1,1
16959,7,2,"$15,000",4,22,1,0,0,22,0,1,0
16961,7,5,"$73,900",5,33,3,0,0,33,0,3,1
16963,7,3,"$51,600",7,43,0,0,0,43,1,4,1
16968,7,3,"$145,000",7,33,1,0,0,33,1,2,1
16973,7,4,"$48,820",5,41,2,0,0,41,0,2,1
16974,7,2,"$142,094",6,68,0,0,1,68,1,2,1
16977,7,2,"$4,000",6,20,2,0,0,20,0,1,0
16978,7,5,"$15,000",4,25,4,0,0,25,0,0,1
16986,7,1,"$28,000",8,82,0,0,0,82,0,1,1
16995,7,3,"$25,000",2,40,2,0,1,40,0,1,1
17005,7,2,"$27,300",5,49,0,0,0,49,0,1,1
17007,7,4,"$17,000",3,26,3,0,0,26,0,1,0
17010,7,3,"$27,000",7,46,1,0,0,46,1,1,1
17014,7,1,"$23,914",7,30,0,0,0,30,0,2,0
17019,7,1,"$26,000",6,46,0,0,0,46,0,1,1
17022,7,6,"$35,400",5,30,4,1,0,30,1,2,0
17025,7,1,"$23,662",3,63,0,0,0,63,1,1,1
17027,7,2,"$45,000",6,22,0,0,0,22,0,2,1
17038,7,5,"$60,000",6,38,3,0,1,38,0,4,1
17039,7,1,"$61,000",8,51,0,0,0,51,0,1,1
17040,7,2,"$80,000",9,67,0,0,0,67,1,2,1
17047,7,1,"$35,000",9,80,0,0,0,80,0,0,1
17049,7,4,"$21,000",5,25,2,0,0,25,0,2,0
17051,7,4,"$61,732",11,31,2,0,0,31,0,3,0
17053,7,3,"$93,000",6,38,1,0,0,38,0,3,1
17054,7,2,"$90,948",9,30,0,0,0,30,0,2,1
17055,7,3,"$28,000",8,26,1,0,0,26,1,3,0
17057,7,1,"$7,200",6,38,0,0,0,38,0,4,0
17064,7,2,"$210,100",10,59,0,0,0,59,1,1,0
17065,7,4,"$57,000",6,32,2,2,0,32,0,3,1
17067,7,2,"$12,960",4,39,1,0,0,39,0,1,0
17074,7,3,"$75,000",6,68,0,0,0,68,0,2,1
17080,7,2,"$100,000",3,37,0,1,0,37,1,2,1
17082,7,3,"$31,200",7,40,2,0,0,40,0,1,1
17084,7,1,"$23,000",6,82,0,0,0,82,0,1,1
17091,7,1,"$20,000",9,72,0,0,0,72,0,1,1
17094,7,1,"$6,072",3,58,0,0,0,58,1,0,0
17098,7,3,"$73,000",9,39,1,0,0,39,0,2,1
17103,7,2,"$49,922",7,40,0,0,0,40,0,3,1
17106,7,2,"$54,000",9,70,0,0,0,70,1,1,1
17110,7,2,"$1,503",3,19,2,0,0,19,0,2,0
17111,7,1,"$11,616",8,77,0,0,0,77,0,0,0
17115,7,5,"$50,000",5,36,3,0,0,36,0,2,1
17116,7,3,"$45,000",4,40,1,0,0,40,1,2,1
17118,7,3,"$35,242",4,29,2,0,0,29,0,1,1
17120,7,5,"$40,000",7,37,3,0,0,37,1,2,0
17125,7,2,"$30,000",3,77,0,0,0,77,1,2,1
